id_pais;nombre_tabla;nombre_origen;nombre_origen_erp
SV;m_fuerza_venta;bigmagic;bigmagic
SV;m_lista_precio;bigmagic;bigmagic
SV;m_modulo;bigmagic;bigmagic
SV;m_responsable_comercial;bigmagic;bigmagic
SV;t_visita;salesforce;bigmagic
VE;m_modelo_atencion;bigmagic;bigmagic
VE;m_asignacion_modulo;bigmagic;bigmagic
VE;m_clasificacion_cliente;bigmagic;bigmagic
VE;m_eje_territorial;bigmagic;bigmagic
VE;m_estructura_comercial;bigmagic;bigmagic
VE;m_forma_pago;bigmagic;bigmagic
VE;m_fuerza_venta;bigmagic;bigmagic
VE;m_lista_precio;bigmagic;bigmagic
VE;m_modulo;bigmagic;bigmagic
VE;m_responsable_comercial;bigmagic;bigmagic
VE;t_visita;salesforce;bigmagic
